Name,Users,TotalPulls,Rerun
Dr. Ratio,52160,961993,0
Silver Wolf,272100,17696242,0
Seele,89823,2564541,1
Jingliu,135911,5234942,1
Silver Wolf,182304,7616929,1
Dan Heng • Imbibitor Lunae,40764,1331369,1
Dan Heng • Imbibitor Lunae,142485,6275094,1
Huohuo,268646,13224156,0
Robin,302993,17877607,0
Luocha,120617,4664885,1
Jing Yuan,61772,1809510,1
Jing Yuan,292498,17736116,0
Kafka,280371,19445419,0
Jingliu,319834,21244258,0
Fu Xuan,311706,19665467,0
Luocha,268126,14674610,0
Ruan Mei,197514,11527717,1
Dan Heng • Imbibitor Lunae,253897,15979091,0
Acheron,411834,45381074,0
Boothill,163480,6856694,0
Robin,103276,4081802,1
Blade,234583,12933685,0
Black Swan,331293,22174999,0
Aventurine,298332,17229715,0
Acheron,140481,6938914,1
Ruan Mei,363573,23848177,0
Argenti,238335,9758632,0
Fu Xuan,123487,4693169,1
Rappa,181487,7785363,0
Kafka,56151,2337459,1
Firefly,98108,4150627,1
Argenti,39151,935491,1
Robin,183484,10692872,1
Aventurine,171620,8405750,1
Jiaoqiu,49774,2274277,1
Black Swan,52370,2131037,1
Jade,185725,6878341,0
Yunli,168744,6987256,0
Topaz & Numby,255646,10569203,0
Aglaea,6703,301242,1
Sparkle,111676,4333435,1
Sparkle,361094,22552065,0
Kafka,164636,5537937,1
Lingsha,126767,5637432,1
The Herta,280542,20180135,0
Acheron,31173,1504880,1
Topaz & Numby,92179,2588314,1
Huohuo,48480,1452330,1
Lingsha,202599,8577744,0
The Herta,35838,1902032,1
Jade,71714,2674328,1
Feixiao,47555,1800515,1
Castorice,224017,23263351,0
Blade,134920,5046812,1
Cipher,26888,1661402,0
Silver Wolf,13740,419287,1
Mydei,118087,6287714,0
Hyacine,94573,6425782,0
Fugue,59796,2644880,1
Jing Yuan,43347,1264384,1
Firefly,315540,31265753,0
Aglaea,144195,6939713,0
Fugue,245360,13866709,0
Jiaoqiu,171193,7986925,0
Tribbie,215972,16092706,0
Boothill,28154,888674,1
Sunday,286637,19568089,0
Anaxa,109936,6346171,0
Topaz & Numby,151329,6766089,1
Dr. Ratio,4729,256824,1
Huohuo,120688,4746083,1
Yunli,27787,720232,1
Feixiao,281327,19032127,0
